City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,39.74,66,73,19.62,TF,1714011357
1,adamstown,-25.066,-130.1015,73.45,89,3,21.47,PN,1714011357
2,kailua-kona,19.6406,-155.9956,82.36,79,100,10.36,US,1714011358
3,port mathurin,-19.6833,63.4167,79.86,69,100,17.2,MU,1714011358
4,nelson bay,-32.7167,152.15,71.01,78,99,4.0,AU,1714011359
5,howrah,22.5892,88.3103,91.4,52,40,6.91,IN,1714011359
6,yellowknife,62.456,-114.3525,41.56,71,75,12.66,CA,1714011361
7,grytviken,-54.2811,-36.5092,28.22,78,23,10.65,GS,1714011364
8,puerto natales,-51.7236,-72.4875,36.05,100,100,2.3,CL,1714011088
9,tiksi,71.6872,128.8694,12.38,83,100,14.79,RU,1714011253
10,persembe,41.0656,37.7714,63.82,36,100,6.82,TR,1714011357
11,hadibu,12.65,54.0333,81.43,77,52,5.06,YE,1714011371
12,blackmans bay,-43.0167,147.3167,57.33,63,100,1.99,AU,1714011372
13,pisco,-13.7,-76.2167,69.85,78,0,4.61,PE,1714011111
14,olonkinbyen,70.9221,-8.7187,29.19,82,9,6.91,SJ,1714011094
15,tartagal,-22.5164,-63.8013,63.21,98,100,4.38,AR,1714011377
16,gisborne,-38.6533,178.0042,63.82,55,100,12.46,NZ,1714011190
17,elliot lake,46.3834,-82.6331,28.06,40,2,1.14,CA,1714011380
18,avarua,-21.2078,-159.775,82.45,69,75,6.91,CK,1714011381
19,twon-brass,4.3151,6.2418,84.11,80,100,10.98,NG,1714011382
20,buka,40.8108,69.1986,67.93,47,43,4.27,UZ,1714011383
21,waitangi,-43.9535,-176.5597,60.82,88,98,7.0,NZ,1714011384
22,kidal,18.4411,1.4078,85.64,13,2,10.74,ML,1714011385
23,coquimbo,-29.9533,-71.3436,59.99,76,4,4.9,CL,1714011247
24,ar rutbah,33.0381,40.2848,69.06,27,0,1.79,IQ,1714011386
25,zhezqazghan,47.7833,67.7667,48.78,61,75,24.61,KZ,1714011386
26,ushuaia,-54.8,-68.3,46.06,61,0,3.44,AR,1714011164
27,saipan,15.1355,145.701,90.3,58,40,17.27,MP,1714011388
28,vylkove,45.4021,29.586,55.96,70,73,3.87,UA,1714011388
29,cabinda,-5.55,12.2,79.75,90,99,2.04,AO,1714011389
30,nova sintra,14.8667,-24.7167,73.42,80,100,14.79,CV,1714011389
31,whitehorse,60.7161,-135.0538,56.17,22,40,5.75,CA,1714011390
32,petropavlovsk-kamchatsky,53.0452,158.6483,52.39,35,20,17.9,RU,1714011236
33,kristiansund,63.1115,7.732,34.45,80,75,4.61,NO,1714011395
34,revuca,48.6835,20.1173,37.58,96,100,2.48,SK,1714011296
35,bandar-e lengeh,26.5579,54.8807,73.51,94,0,0.0,IR,1714011398
36,itaituba,-4.2761,-55.9836,75.47,99,100,1.23,BR,1714011399
37,qaqortoq,60.7167,-46.0333,31.21,87,33,6.24,GL,1714011357
38,kulhudhuffushi,6.6221,73.07,84.04,73,31,4.34,MV,1714011400
39,san antonio de pale,-1.4014,5.6325,82.76,79,99,11.81,GQ,1714011401
40,selfoss,63.9331,-20.9971,42.76,73,90,3.91,IS,1714011402
41,nadym,65.5333,72.5167,24.96,91,100,5.57,RU,1714011402
